comment_id,original_comment,aspects,sentiments,confidences,aspect_count
72,brand dg kualitas terburuk saat memainkan game bila dibandingkan dengan brand lain dg chipset yg sama jangan beli samsung buat main game,Performance,negative,0.930,1
73,tes game fgo juga om,Performance,neutral,0.992,1
74,instagram di samsung a kenapa ga bisa repost story orang yah ada yg mengalami hal yg sama ga padahal udah d update semua,Software,negative,0.922,1
75,sound nya ada dolby atmos nya gak om,"Connectivity, Storage, Features","neutral, neutral, neutral","0.872, 0.872, 0.872",3
76,karena backdoornya plastik apakah gampang berjamur om ded,BuildQuality,negative,0.922,1
79,om admin ku kn punya hp xiaomi mi t pro sangat mencewakn koneksi internet y sinyal wifi y suka eror main game suka bug leg padahal ram y gede bgt internal y camera y sangat kurang bagus di harga juta lbh snaprogon y kaya y abal abal deh hp xiaomi bahkn keyboard y huruf a ya suka eror hilang huruf a dan tombol ubh huruf y dan burik y lgi layarnya hp xiaomi mau yg murah hp xiaomi y mahal bikin sakit matahp xiaomi saat download sama aja kaya g biasa main game setting rata kanan grafis game burik ga wow g bagus grafis rata kanan mentok seperti grafis medium tengah ku jdi pengen beli samsung a hp xiaomi ku ku jual ja,"Connectivity, Storage, Price, BuildQuality, Design, Network, Performance","negative, positive, negative, neutral, neutral, negative, negative","0.994, 0.496, 0.996, 0.949, 0.520, 0.995, 0.995",7
80,thanks bang udh nyobain game aov di hp ini blum bs rata kanan ya bang hp ini,"BuildQuality, Performance","neutral, neutral","0.969, 0.991",2
82,samsung a dipake sambil di charge soak ga batrenya guys,Battery,neutral,0.780,1
83,akhir ada game yg di mainkan jugapes,Performance,neutral,0.970,1
86,a ato poco f lebih worth it,Price,positive,0.986,1
88,panas gak bang batre nya,Battery,negative,0.988,1
89,om serius nanya soalnya mau beli tp masi ragu dengan perbedaannya a dan a dichanel sebelah bilang batre dan charger nyatanya sama aja walaupun tertulis beda w dan w mah dan mah makasi jawabannya om,Battery,neutral,0.985,1
97,mengecewakannya kenapa gk dapet handsfree sama sim hybrid sih kalo yg lainnya ok lah,Network,neutral,0.968,1
99,minta caranya dong kemarin abis beli a pas download genshin kok grafik nya kayak bit ya jadi jelek grafiknga titik titik gimana biar bagus,Performance,negative,0.483,1
101,ini hpku doang apa emang beda ya aku pke a main genshin kok rasanya gak playable ya trus game mmorpg online kan harusnya enteng ya aku coba main pw mobile setting smooth aja masih patah ada saran gak,"BuildQuality, Performance","neutral, positive","0.870, 0.598",2
103,om ded mw nanya kl a ini sy cas pke charger ori bawaan samsnung note yg watt aman gk apa gk cpet buat drop btraix,BuildQuality,negative,0.640,1
106,pak dosen review a g nya juga dong secara perbedaan soc yg g sudah dimensity dan yg non g masih pake mtk g review perbandingan gamingnya juga dong pak dosen makasih,Performance,neutral,0.695,1
107,batrai awet ga pake main game,"Performance, Storage","negative, positive","0.988, 0.989",2
109,bang sama vivo v bagus mana ya buat main game,Performance,positive,0.490,1
114,knp slalu pubg dan mobile legend untuk tesnyacoba dong tes di game war robotsitu grafik dan detailnya paling gila saya lg nyari hp yg kuat ngangkat itu game,Performance,neutral,0.689,1
118,pantes mahal pake ois hardware dan ip,Price,negative,0.977,1
119,plis minta pendapat kesemuanya lebih mending ambil samsung a gb atau poco f gb soalx klw samsung suka dng kameranya dan ip nya hanya untuk chipsetnya kurang mau ambil poco f yg chipsetnya gak main tapi ktax banyak bug seperti bug delay plis mnta pendapatx semua,"Display, Performance, Storage","negative, negative, neutral","0.978, 0.897, 0.607",3
120,tergantung kebutuhan bro kalo lu suka kamera dan ip pilih samsung kalo suka main game pilih poco f,"Camera, Performance","neutral, neutral","0.989, 0.751",2
126,ini a memory nya pake ufs brp ya,Network,neutral,0.996,1
127,perbandingan samsung a dan poco f bang harganya sama bingung jadinya,Price,negative,0.958,1
129,buat pubg pasangin gfx tool bisa ga sih biar fps extreme,BuildQuality,neutral,0.990,1
131,untuk game mending a atau poco x pro,Performance,neutral,0.975,1
132,gini aja bang ada harga ada barang klu liat speaknya semua ad plus minusnya jdi kmbli lgi sesuakian kebutuhan,Price,neutral,0.829,1
135,bossaya mau tanya nih apakah hp samsung a cepat panastolong di balas bos,Performance,negative,0.859,1
136,harga charger samsung wat ori brpa ya,Price,neutral,0.993,1
141,lagi nunggu turun harga,Price,negative,0.928,1
142,bang samsung a ada slot micro sda nya enggak,Network,neutral,0.996,1
149,mantap terima kasih banyak untuk reviewnya request ada test game ar seperti pokemon go inggress atau harry potter apakah sudah ada fitur ar scanning atau tidak terima kasih banyak,"Performance, Features","neutral, neutral","0.996, 0.997",2
150,mau nnya soal game booster di samsung galaxy a itu wajib dipake ga kalo pas main game ada yg bilang itu bisa nurunin fps pas main game terutama pubgm kalo genshin gmna ya,Performance,neutral,0.987,1
151,mengatasi analog yg sering lepas sendiri kalo main ml gimana ya,BuildQuality,neutral,0.927,1
152,makasih bang udah test gaming bakal jadi incaran si a,Performance,neutral,0.941,1
154,mau tanya dong bang apaka samsung a bisa rekam dual vidio terimakasih sbelumya yng sudah jawab,Camera,neutral,0.998,1
155,pak di mobile legend apakah ga bisa tembus fps atau emang ke lock fps,Performance,neutral,0.909,1
160,buat ngegame suka framedrop gk lu bro hp gw pubg aja framedropnya sampe fps hahaha,Performance,neutral,0.832,1
162,kelvinsantosa tpi lumayan lah bro gua ga nyesel juga beli ni hp klo buat pemakaian santay enak bnget di mata tpi klo buat game sihh kurang,Performance,negative,0.761,1
165,samsung ini selalu pinter buat hp yg balance kualitas dan fitur nya ga overpower kaya merk sebelah tapi mangkas banyak hal juga,Features,positive,0.994,1
169,ini dah suport g belum mz ded,Network,neutral,0.969,1
170,review game kayak gini di poco x pro dan f,Performance,neutral,0.981,1
171,bang bikin video versus dong dengan smartphone sesama snapdragon g atau terserah asal soc nya sama pengen tahu apakah soc sama tapi beda produsen juga mempengaruhi performa smartphone catatan ram harus sama kalau internal storage boleh beda please di bikin dong penasaran,"Camera, Performance, Storage","neutral, neutral, neutral","0.738, 0.994, 0.976",3
173,bro kalo main genshin impact frame drop gak saat battle,"BuildQuality, Performance","negative, neutral","0.788, 0.921",2
174,fauzir aku nggak main genshin di hape bro paling mentok cod m ama pubg m,Performance,negative,0.889,1
176,nimbrung saya pake a ini mulai jumat tgl april disebut td di reviewnya a ga dpt casing pdhal dpt yg ga dpt itu earpieceheadset dan ngecas pake charger bawaan persis punya a hp lama panasnya di hpkepala charger lumayan kerasa sdg kl dicas pake bawaan a yg w tulisannya jd super fast charging dan hp adem aja kepala chargernya anget menuju panas hehehe tersasar ke sini gara kmaren liat review poco x pro mau nyari yg f tp iseng nyari a eh ada reviewnya hehehe,"Display, BuildQuality, Battery","neutral, positive, positive","0.720, 0.991, 0.990",3
177,di jagat review buat g epep keentengan di sadapin tekno buat epep game paling berat,"Performance, Design","negative, negative","0.912, 0.912",2
178,hmm pes ga bisa grafik high ya,Performance,negative,0.993,1
181,yang membedakan samsung dengan brand lainnya adalah samsung gak terlalu banyak gimmick dan smoothness refinement operating systemnya nyaman sekali terlebih lagi softwarenya dapet support jangka yang lumayan lama jadi jangan ngenilai sesuatu dengan kertas spesifikasi tapi dari kegunaan dan experience menggunakannya inget beli hp sesuai kebutuhan karena teknologi semakin banyak yang baru dan harga hp turun,"Features, Software, Price","negative, positive, negative","0.531, 0.991, 0.872",3
186,buat gaming poco x pro all rounder a,Performance,neutral,0.985,1
187,bang samsung a yg dukung jaringan g dijual diindonesia ga,Network,neutral,0.857,1
189,ada yang dapat masalah touchscreen nya ga sih kalau main game analog sering tereset touch screen nya ga ke sentuh layarnya,"Display, BuildQuality, Performance","neutral, neutral, neutral","0.869, 0.889, 0.683",3
192,om kalo beli tahun depan masih worth it kan,Price,positive,0.990,1
193,video nya di awali dengan curhatnya om dedy hehe,Camera,neutral,0.992,1
194,bg bagusan oppo reno atau galaxy a test game berat,"Performance, Design","negative, negative","0.995, 0.995",2
197,baru beli april kemarin alhamdulillah bagus galaxy a layar nya bagus tajam smooth banget buat nonton youtube baca nyaman baterai nya awet data saya ada gb di rom nya bisa sampai hari lebih malah itu pakai sinyal biasa kalau wifi bisa lebih lagi gak suka main game di hp hehe camera nya bagus pokok nya puas sejauh ini gud samsung gak dapat handsfree charger dapat yg w bukan w hehe,"Connectivity, Battery, Storage, Display, Network, Performance","negative, positive, neutral, positive, positive, negative","0.780, 0.988, 0.993, 0.992, 0.996, 0.996",6
198,dapet harga brp bang,Price,neutral,0.972,1
200,ada dua versi gnya kayaknya belum masuk indo kayaknya,Network,neutral,0.985,1
204,terimakasih a a seketika anda rilis kami generasi a a diberikan samsung surprise update software cacat secara massal a main mlbb codm rata kanan frame drop dan force closed terus suka restart sendiri a mati total restart sendiri sebelum nya belum ada bug yang parah bahkan chip g serasa hape kentang setelah di update suka mental terosssss demi a a lari manisssss yg lama kenak tumbal performa di turunkan secara drastis lewat update software gimmick sampai kalian berumur tahun baru kami akan di up kembali dedemit wkwk segitunyaaaaaa,"BuildQuality, Performance, Connectivity, Software","negative, negative, negative, neutral","0.732, 0.938, 0.920, 0.780",4
205,jangan sering update klo ga puas diflash ulang aja pake rom versi lama trus matiin fitur updatenya,"Storage, Features, Software","negative, negative, negative","0.511, 0.984, 0.992",3
210,kamera a dibanding mi t bagusnya jauh ga ya pak,Camera,neutral,0.952,1
212,dulu awal main life after pake samsung a presetnya hd,Display,neutral,0.996,1
213,gue gak mikir game miikir keawetan,Performance,positive,0.971,1
215,bang kalau pubg nya dipakein tools gitu utk nge unlock smooth extreme gimana bangmohon dijawab,Audio,neutral,0.992,1
217,masak sih harga pasar samsung biasanya lebih rendah klo di pasar offline nya lebih rendah gak keknya gak,Price,neutral,0.385,1
218,lebih rendah kok sy dpt di samsung experience store utk a dpt bonus indosat bundling sama xl worth sekitar rb,Price,positive,0.659,1
221,hp yang ada ois nya cuma hp jadul yang harga awalnya emang sekitar jutaan kalau mau nyari harga dibawah a,Price,negative,0.669,1
225,jagatreview i was scrolling facebook for mins then the total data used was mb data saver and ultra data saving mode are on hz auto play video was off i didnt even open videos was just plain scrolling the newsfeed while on my old phone asus zenfone max it used mb only,"Camera, Display","neutral, neutral","0.964, 0.957",2
226,tetap aja berat ya hmm,"Performance, Design","negative, negative","0.995, 0.995",2
228,ditgu video versus a vs redmi note pro yg setuju like biar dilihat bang admin,Camera,neutral,0.959,1
229,renot pro gimmick cmn ngandelin spek sm amoled doang samsung juga yg punya amoled,"Display, Software","negative, negative","0.949, 0.971",2
233,akhir nya video a review versi jagat yg di tunggu,Camera,neutral,0.928,1
235,masih bagus dan murah redmi note pro samasama anti air kamera lebih bagus redmi note pro mp ya itulah samsung jual nama doang,"Camera, Price","positive, positive","0.982, 0.988",2
243,luar biasa samsung harga lebih mahal tapi dibayarkan dengan berbagai fitur yang menarik dan anti gimmick,"Features, Software, Price","positive, positive, negative","0.799, 0.985, 0.907",3
244,untuk pemakaian sehari hari dan game ringan mending samsung a atau samsung m,"Performance, Design","neutral, neutral","0.820, 0.985",2
245,butuh tahan air dan ringan atau butuh batre besar,"Battery, Design","neutral, neutral","0.927, 0.866",2
246,jagatreview gak terlalu butuh batre besar sebenarnya cuma pengen yang nyaman dipake sehari hari aja dan yang cocok untuk dipakai pelajar,Battery,positive,0.609,1
248,mantap game good,Performance,positive,0.996,1
249,selfie videonya skintone gk konsisten,Camera,neutral,0.851,1
259,maen mobile legend analognya susah ke kiri,Performance,negative,0.996,1
260,omini pas saya beli a saya cek pake cpu z kok chipsetnya pake g ya ompadahal kan pake g,Performance,neutral,0.867,1
261,harga a sama a berapa ya trus kalau dibandingin sama a bagus mana ya dri segi performa ama batre,"Performance, Battery, Price","neutral, positive, positive","0.815, 0.690, 0.595",3
265,ada game mff beli ah,Performance,neutral,0.944,1
272,sering tes game sebanyak ini pak dosen,Performance,neutral,0.989,1
275,saya pengguna a dah bulanan yg saya keluhkan dr a satu itu penangkapan sinyal wifi nya lemah jika dibandingkan hp merk lain di tempat tinggal saya sinyal wifi nya emang ada bar pd saat saya menggunakan hp merk lain lancar jaya aja tu nah pd saat saya menggunakan hp samsung a ni sinyal nya suka hilang bahkan gak dapat sinyal wifi nya sya sdah lihat cara perbaiki nya gimna tapi hasilny sama,"Connectivity, Network","negative, neutral","0.993, 0.978",2
276,ini a bukan a ga bisa disamakan soc beda bodi beda,"Performance, Design","positive, negative","0.628, 0.893",2
280,bang saran pes pakia high kalo tes hp,Performance,neutral,0.980,1
287,baterai cuma mah kalo buat main game cepet boros samsung,"Performance, Battery","negative, negative","0.993, 0.602",2
288,males pakai samsung harga marhal sinyal kadang nyari dan perlu dicatat buat selfi hampir semua samsung muka berubah kayak batu bata,"Network, Audio, Connectivity, Price","negative, neutral, negative, negative","0.625, 0.559, 0.625, 0.996",4
298,calon hape laris walaupun harganya diatas pesaing tiongkok,Price,positive,0.955,1
301,mid range paling sempurna yg pernah ada tpi ada deal braker buat ane pribadi yaitu slotnya yg hybrid soalnya ane punya kartu untuk regular number dan internet number plus punya micro sd samsung ori gb yg udh keisi file setengahnya jadi mesti harus selalu standby on dlm hp,"Storage, Network","neutral, neutral","0.997, 0.988",2
303,hp idaman saya oled dkk inch kebawah nits up kamera aja mah fast charge min watt sd,Camera,neutral,0.965,1
304,akhirnya mau beli kembaran sama ibuuk biar keren ibk ngajar online sambil gaming sm cucu hahaha,Performance,positive,0.817,1
305,permisi om tlong bahasin ufs dan ufs dri hp paling murah apa gak dibahas karena hp serang pakek ufs smua ya trimakasih om buat main game ompikiran saya kyak hdd diganti sddwuss gtuhehe,"Performance, Price","negative, negative","0.526, 0.382",2
307,udah beli a sayang pas beli warnanya gak lengkap ngincer warna biru gak dapet akhirnya ambil yang putih deh,Design,negative,0.988,1
308,sama bro blue susah di cari yang varian gua dapet nya violet wkwk,Design,neutral,0.507,1
316,om emang bener klo kita bikin video pake fps dan diposting dimedsos kaya ig misalnya maka hasil kualitas tampilan di ig nya bakal beda dgn yg pake fps dan klo bener apa beda tampilannya di ig cukup signifikan atau hanya beda dikit aja makasih om mudah an dijawab,"Camera, Performance","neutral, neutral","0.990, 0.988",2
317,kalau pake aplikasi dapon ps game nya blacksekali kali coba bang,"Performance, Software","neutral, neutral","0.875, 0.994",2
318,beli aja ps murah tuh ngapain maksain henpon,Price,negative,0.995,1
319,a ada mode dual view video kah om kamera selvi ada stabilizer kah,Camera,neutral,0.997,1
321,gak expect apa sebenernya dengan peforma gamingnya tapi jagat membuktikan kalo g masih oke sekali buat game yg ada saat ini jt buat saya sangat wort it terlepas charger yg cuma w tapi ip speaker stereo ois kamera itu udah kombinasi yg mantep menurut saya,"Camera, Display, Audio, Features, Performance","neutral, neutral, neutral, positive, positive","0.996, 0.988, 0.994, 0.994, 0.947",5
322,thank you bang jagat review ngetes game make sky sky memang termasuk game santai tapi berat buat nembus fps butuh chipset yang high end seperti dan teman²nyadi atasnya,"Performance, Design","positive, positive","0.586, 0.586",2
323,at least sebenarnya sky ga seberat genshin,Performance,positive,0.893,1
324,dlt gaming iya bener tapi kalau ingin fps seri chipset nya harus yang high end saya pernah nyoba di g masih mentok di fps,Performance,negative,0.777,1
325,pawck aku main sky pake mi a dengan sd mentok sih di fps tp kadang ngedrop apalagi di set ke boosted default atau server udh full org jd seringnya pake mode energy saving atau kadang default yg pentinginnya sih udh bisa main sky tp skrg udh ga lagi karena pake hp samsung galaxy a s yg ga bisa install sky gegara os hpnya bit,Performance,negative,0.851,1
329,untuk performa a sama dengan a kah,Performance,neutral,0.935,1
333,tambahan tes gaming om v,Performance,neutral,0.920,1
334,syg bgt pubg g bsa smooth extreme tdiny mau beli tpi g jdi stlah setting default pubg ny di ultra wlaupin bisa ganti config ke extreme tetap aja kurang maknyos sepertinya,"Audio, BuildQuality","negative, neutral","0.941, 0.930",2
335,kalo mau smooth extreme bisa ambil mi t series atau sharp aquos shv tapi second pake snapdragon harganya ada di kisaran jutaan,Price,neutral,0.713,1
342,emangnya kamera samsung seburik itukah knp hrus pake gcam biasanya user sebelah yg pake karna kameranya agak kontras atau burik,"Camera, Design","negative, negative","0.986, 0.957",2
344,samsung udah keluarin a aja dan aq masi pakek a buat nonton video review qm a,Camera,neutral,0.994,1
347,mau performa tinggi ambil poco x pro kalo ga masalah sama performa cukup ambil a,Performance,neutral,0.789,1
352,tunggu versi revisinya aja a s siapa tau triple slot,Network,neutral,0.582,1
355,mantap pak dosen saran aja nih hehe videonya tetep pake resolusi perbandingan tapi dengan angle yg bisa di zoom buat pengguna dong,Display,neutral,0.939,1
356,baru beli samsung a sayang nya ga bs main game gaptek game cuma bs foto,"Camera, Performance, Design","neutral, negative, neutral","0.990, 0.938, 0.995",3
360,bang caranya mengatur pengambilan video menjadi fps gmna bang,Camera,neutral,0.588,1
361,kan ada opsi resolusi video pilih aja yg itu,"Camera, Display","neutral, neutral","0.995, 0.995",2
365,panas ga om kalo pake main game,Performance,neutral,0.824,1
373,kalo mau performa tinggi to ga masalah layar masih ips ambil poco kalo ga masalah dengan performa cukup tapi layar amoled ambil ini aja,"Display, Performance","neutral, positive","0.916, 0.917",2
376,paling worth si untuk harga juta saat ini,Price,positive,0.990,1
377,garis antena ada berapa ya biasanya samsul lemah sinyal,"Connectivity, Network","negative, negative","0.993, 0.993",2
383,kalo mau baterai gede charger w langsung di box ukuran layar gede sama kamera telephoto ambil a kalo ga butuh ambil a aja,"Camera, Display, Performance, Battery","neutral, neutral, neutral, neutral","0.950, 0.596, 0.774, 0.954",4
385,min saran dari saya tolong untuk gaming test tambahin damon ps psp soalnya tiap nonton review hp terutama yang pake snapdragon series selalu di bilang gpu kenceng coba game emulator ps psp dong,Performance,positive,0.852,1
387,gila bagus bgt nih hp awalnya rada ragu mau beli hp ini tapi di jelasin sama jagat review bikin gw yakin nih hp bagus bgt dan lagi gw emng lgi cari hp yg bagus buat game thanks atas penjelasannya,Performance,positive,0.983,1
388,bagus buat game poco x pro harga di bawah jt,"Performance, Price","positive, neutral","0.994, 0.966",2
391,mending stay aja dulu bang kan lumayan tuh update osnya sampai android lagi,Software,neutral,0.994,1
392,bang user experience realme ui sama miui enak mana,Software,positive,0.997,1
400,wah tumben beda di tes gaming banyak banget sampai gak tahu itu game apa baru kenal,Performance,negative,0.964,1
403,hem fitur waterproof ny tampak menggiurkan tp kalo m series juga waterproof ane ambil m ja kali y,Features,neutral,0.699,1
407,itu software buat monitoring fps itu apa,Software,neutral,0.991,1
413,hasil foto kamera a kalo di zoom katanya pecahbener ga bang,Camera,neutral,0.994,1
416,nontonin gaming test jd rindu vainglory,Performance,positive,0.969,1
420,alhamdulillah snapdragon di pubg belum bisa smooth extreme samsung a series mi lite dll gw yang make snapdragon sony xz masih seneng kalo sampe snap bisa smooth extreme fps ngg adil bgt sih kalau mau smooth extreme atau fps ya make config gfx tool,BuildQuality,neutral,0.995,1
422,main genshin impact panas tinggal celupin ke air,Performance,negative,0.717,1
425,redmi note pro lebih ngiler dari harga,Price,positive,0.843,1
430,ini yang ditunggu sejak kemaren penerus a gua yang masih dipake sampai sekarang mengharapkan tes gaming ditekankan sampai game eh tau udah aja wkwkwkkwwk ditunggu part nya terserah mau bahas apa aja yang penting ada part nya yang versi g gimana kabarnya om masuk ke indo juga ga soalnya sma b udah muncul di tkdn,Performance,neutral,0.627,1
432,main game panas tinggal celup air es,Performance,negative,0.942,1
440,om review game nya game yang pake emulator om,Performance,neutral,0.937,1
441,alhamdulillah sudah punyaa a warna violet,Design,neutral,0.983,1
442,brpa harga nya cuk yg gb itu,Price,neutral,0.969,1
444,game berat yg kurang world of warship blitz dan world of tank blitz,"BuildQuality, Performance, Design","neutral, negative, negative","0.984, 0.995, 0.995",3
445,ahh kirain gabisa fps waduh tolong dong worth ga ganti dari a,Price,negative,0.935,1
446,worth it banget karena dapat update os sampai kali,"Software, Price","positive, positive","0.991, 0.993",2
451,kalo mau performa yang tinggi bisa ambil nova t karena prosesornya beda jauh l snapdragon g vs kirin,Performance,positive,0.932,1
454,kaget sama thumbnail antutu tembus k,Connectivity,negative,0.996,1
456,dada gua sakit pas epep dijadikan test gaming awowowok,Performance,negative,0.954,1
458,biar performa kalah ama hape mendang mending tapi kalo soal update os jawara diantara hape android lainnya kalo hape mendang mending mah ditanya kapan update os dijawab buat apa update os yang penting dapet versi mii terbaru wtf banget kapok pake hape mendang mending,"Performance, Software","negative, positive","0.997, 0.931",2
459,kalau dari segi performance sebenarnya hape ini sudah cukup untuk penggunaan yang sewajarnya di kehidupan sehari hari tanpa melakukan pengujian menggunaka game game kelas berat seperti ini tidak setiap hari penggunaan game yang dijalankan sehingga kalau kebutuhan harian saja sudah cukup dan terwakili pada dasarnya setiap pengguna hape lebih mengedepankan penggunaan harian daripada penggunaan game kecuali gamer hardcore yang bila tidak main game sehari saja merasakan gejala kecanduan dan pusing kepala,"Performance, Design","negative, negative","0.916, 0.916",2
460,iya tuh kalo mau game banget mending hp yg khusus game kalo ini untuk seharihari aja,Performance,neutral,0.894,1
461,supaya org tau bang kemampuan soc nya karna game mutlak mnguji kemampuan soc,Performance,positive,0.669,1
462,game free fire bukan game ringan tapi game berat itu hasil pengujiannya masih awal data gamenya belum banyak belum sebanyak punyaku punyaku aja udah gb mungkin itu masih belum gb jadi belum berat wajar aja fps nya tinggi,"Performance, Design","neutral, neutral","0.678, 0.678",2
463,data game tidak diload ke ram secara bersamaan lho,"Performance, Storage","neutral, neutral","0.988, 0.965",2
465,jagatreview terus yang memengaruhi fps saat main game apa bang,Performance,neutral,0.531,1
470,bukan kaum mendang mending salah hp palling worth di thn ini,Price,positive,0.883,1
473,next tes game di hp redmi note pro,Performance,neutral,0.997,1
474,vs a gaming nya mantep mana ni pak dosen,Performance,positive,0.996,1
483,ada apa ini knp reviewer kompak lambat mereview samsung a,Performance,negative,0.993,1
